N_Illesi,N_Feriti,N_Morti,UnixDate,LAT,LNG
2,2,0,1449166500.0,45.714992,9.676081
2,0,0,1449129600.0,45.707347,9.699490
0,2,0,1449060300.0,45.682781,9.679834
1,3,0,1449066600.0,45.680881,9.653429
1,0,0,1449044400.0,45.719467,9.681790
2,0,0,1449045000.0,45.694456,9.673093
1,1,0,1448976900.0,45.692838,9.655877
5,0,0,1448988600.0,45.676883,9.672526
1,1,0,1448952300.0,45.686393,9.694967
1,1,0,1448958600.0,45.688688,9.696164
0,3,0,1448993400.0,45.696468,9.694244
1,1,0,1448949600.0,45.666951,9.659334
2,1,0,1448958600.0,45.667125,9.636401
0,0,0,1448961600.0,45.697812,9.668703
2,0,0,1448982900.0,45.676082,9.662811
2,0,0,1448983200.0,45.689740,9.680074
2,0,0,1448870700.0,45.684100,9.639831
4,0,0,1448879400.0,45.704802,9.695112
3,0,0,1448890200.0,45.687963,9.667337
1,1,0,1448893500.0,45.690061,9.704760
1,1,0,1448864100.0,45.694540,9.656425
1,1,0,1448869200.0,45.687364,9.704383
2,1,0,1448876100.0,45.707920,9.692079
1,1,0,1448896200.0,45.700342,9.669910
2,0,0,1448796900.0,45.694091,9.690492
2,0,0,1448700300.0,45.688688,9.696164
2,0,0,1448707500.0,45.688207,9.660044
0,2,0,1448712600.0,45.677538,9.637590
2,0,0,1448713800.0,45.687985,9.667408
2,0,0,1448725800.0,45.697118,9.667424
1,1,0,1448732700.0,45.720290,9.659621
2,1,0,1448734200.0,45.696159,9.630905
3,1,0,1448741400.0,45.690385,9.630867
3,0,0,1448649600.0,45.693313,9.659321
3,1,0,1448649000.0,45.676550,9.671249
1,1,0,1448638800.0,45.693080,9.657398
3,3,0,1448628600.0,45.682560,9.698741
3,0,0,1448634600.0,45.679694,9.694927
1,0,0,1448625300.0,45.691971,9.657307
2,0,0,1448638800.0,45.689283,9.646872
2,0,0,1448638200.0,45.684735,9.659469
2,0,0,1448610300.0,45.685102,9.662557
5,0,0,1448622600.0,45.675854,9.657443
1,1,0,1448607300.0,45.693950,9.644194
1,2,0,1448561700.0,45.675630,9.668843
5,0,0,1448191800.0,45.676865,9.671231
1,1,0,1448574600.0,45.687979,9.667436
0,1,0,1448556300.0,45.690611,9.630342
1,1,0,1448449800.0,45.682251,9.666600
1,2,0,1448460300.0,45.690494,9.630736
2,1,0,1448460900.0,45.689518,9.669220
1,1,0,1448434200.0,45.695780,9.658693
2,0,0,1448436300.0,45.686812,9.662468
1,0,0,1448445600.0,45.686790,9.670149
1,1,0,1448473500.0,45.719638,9.660466
3,1,0,1448479500.0,45.698019,9.669134
1,0,0,1448488800.0,45.702803,9.662087
3,0,0,1448371200.0,45.692056,9.626959
1,1,0,1448374800.0,45.681851,9.678385
3,0,0,1448385900.0,45.698115,9.671249
1,1,0,1448397300.0,45.715153,9.684411
4,0,0,1448362800.0,45.690606,9.630237
3,0,0,1448268300.0,45.698981,9.695674
0,1,0,1448275380.0,45.682825,9.675944
1,1,0,1448318700.0,45.689202,9.645886
0,1,0,1448273700.0,45.696920,9.669379
1,1,0,1448257500.0,45.709179,9.694481
2,0,0,1448268300.0,45.707347,9.699490
1,0,0,1448273100.0,45.700930,9.682836
1,1,0,1448270700.0,45.675598,9.638811
1,1,0,1448193600.0,45.688249,9.644328
4,0,0,1448224200.0,45.691267,9.675034
0,1,0,1448188800.0,45.686677,9.663478
0,2,0,1448113200.0,45.676612,9.661241
2,0,0,1448107800.0,45.684629,9.673001
2,0,0,1448108700.0,45.700301,9.662433
3,1,0,1448103000.0,45.676533,9.647036
4,0,0,1448007300.0,45.681869,9.677751
3,0,0,1448043300.0,45.675735,9.672769
0,2,0,1448009100.0,45.666836,9.638953
2,0,0,1448043900.0,45.711352,9.699785
0,1,0,1448049300.0,45.688165,9.644165
3,0,0,1448037000.0,45.688850,9.681466
1,1,0,1447955100.0,45.702368,9.665999
0,2,0,1447960500.0,45.684255,9.672955
2,9,0,1447953300.0,45.676319,9.684282
1,3,0,1447957200.0,45.675964,9.660864
1,0,0,1447828200.0,45.710222,9.683191
1,2,0,1447830000.0,45.688916,9.656080
2,0,0,1447836300.0,45.675321,9.675573
1,1,0,1447845600.0,45.677369,9.671233
1,0,0,1447851600.0,45.710702,9.700115
5,0,0,1447853520.0,45.695132,9.686595
2,0,0,1447755600.0,45.694084,9.674167
2,1,0,1447756500.0,45.688219,9.667670
1,0,0,1447758000.0,45.681709,9.698469
4,0,0,1447769100.0,45.687784,9.671908
2,0,0,1447746300.0,45.688864,9.670346
2,1,0,1447751100.0,45.702180,9.686680
1,1,0,1447656300.0,45.689995,9.680377
2,2,0,1447665000.0,45.704083,9.694265
5,1,0,1447696200.0,45.675704,9.672680
3,0,0,1447667700.0,45.696680,9.683133
0,0,0,1447690500.0,45.693025,9.656449
4,1,0,1447609200.0,45.687758,9.693354
5,0,0,1447620300.0,45.687970,9.667418
1,0,0,1447590600.0,45.701434,9.677914
0,2,0,1447578000.0,45.675875,9.670041
1,1,0,1447578900.0,45.684603,9.662475
3,1,0,1447613100.0,45.691234,9.659774
4,0,0,1447542600.0,45.693450,9.692134
1,1,0,1447528800.0,45.700124,9.674715
1,1,0,1447483680.0,45.687787,9.673738
0,1,0,1447501200.0,45.689595,9.690527
2,0,0,1447504200.0,45.686861,9.662452
2,1,0,1447502400.0,45.672984,9.642740
4,0,0,1447513200.0,45.694158,9.670577
3,0,0,1447515600.0,45.688321,9.663113
1,1,0,1447438800.0,45.706011,9.689476
3,0,0,1447398900.0,45.676624,9.671325
2,0,0,1447432800.0,45.706385,9.688494
2,0,0,1447334100.0,45.689108,9.678890
2,0,0,1447350300.0,45.695711,9.660537
2,1,0,1447355400.0,45.695876,9.656054
1,1,0,1447328100.0,45.691930,9.663638
0,1,0,1447317000.0,45.688496,9.663195
